Source User,Application,Category,Verdict,AD Group,Bytes
example_domain\veronica.dillon,smartsheet-base,social-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,129452003
example_domain\veronica.dillon,crowdstrike,management,The application is allowed by security rule 'endpoint-edr-antivirus',irrelevant,97088480
example_domain\veronica.dillon,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,95762016
example_domain\veronica.dillon,ms-onedrive-business,file-sharing,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,52577467
example_domain\veronica.dillon,zoom-phone,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,34633609
example_domain\veronica.dillon,ms-powerpoint-online,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,28015865
example_domain\veronica.dillon,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,18390243
example_domain\veronica.dillon,giphy-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,13329486
example_domain\veronica.dillon,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,10379764
example_domain\veronica.dillon,youtube-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,7248793
example_domain\veronica.dillon,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,3837693
example_domain\veronica.dillon,cloudinary-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,2696754
example_domain\veronica.dillon,boxnet-base,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,2659414
example_domain\veronica.dillon,sway,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,2236718
example_domain\veronica.dillon,facebook-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1404167
example_domain\veronica.dillon,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,985324
example_domain\veronica.dillon,workday-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,862484
example_domain\veronica.dillon,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,609618
example_domain\veronica.dillon,new-relic,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,522485
example_domain\veronica.dillon,linkedin-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,403468
example_domain\veronica.dillon,google-maps,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,326162
example_domain\veronica.dillon,twitter-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,238582
example_domain\veronica.dillon,websocket,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,116243
example_domain\isaac.garcia,ms-visual-studio-tfs-base,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1.03E+11
example_domain\isaac.garcia,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,28705233526
example_domain\isaac.garcia,windows-azure-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,22389942948
example_domain\isaac.garcia,ms-update,software-update,The application is allowed by security rule 'endpoint-software-updates',irrelevant,8150904253
example_domain\isaac.garcia,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,6046717363
example_domain\isaac.garcia,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,2127352018
example_domain\isaac.garcia,crowdstrike,management,The application is allowed by security rule 'endpoint-edr-antivirus',irrelevant,1585381248
example_domain\isaac.garcia,rtp-audio,audio-streaming,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1154464833
example_domain\isaac.garcia,microsoft-intune,it-management,The application is allowed by security rule 'endpoint-management-microsoft',irrelevant,629276442
example_domain\isaac.garcia,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,400907384
example_domain\isaac.garcia,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,354312280
example_domain\isaac.garcia,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,265406548
example_domain\isaac.garcia,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,120464582
example_domain\isaac.garcia,ms-onedrive-business,file-sharing,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,39435170
example_domain\isaac.garcia,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,38936663
example_domain\isaac.garcia,windows-defender-atp-endpoint,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,14630719
example_domain\isaac.garcia,azure-log-analytics,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,14345788
example_domain\isaac.garcia,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,13726537
example_domain\isaac.garcia,openai-chatgpt,artificial-intelligence,The application is allowed provided the user is in the AD group 'managed-user',managed-user,5996220
example_domain\isaac.garcia,github-copilot,artificial-intelligence,The application is allowed provided the user is in the AD group 'managed-user',managed-user,5519986
example_domain\isaac.garcia,youtube-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,3873102
example_domain\isaac.garcia,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,2125244
example_domain\isaac.garcia,jamf,management,The application is allowed by security rule 'endpoint-management-apple',irrelevant,1898743
example_domain\isaac.garcia,openai-base,artificial-intelligence,The application is allowed provided the user is in the AD group 'managed-user',managed-user,792726
example_domain\isaac.garcia,twitter-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,658513
example_domain\isaac.garcia,stackoverflow-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,354696
example_domain\isaac.garcia,facebook-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,335194
example_domain\isaac.garcia,pagerduty,management,"Error during policy testing: Unrecognized application
Error parsing arguments
",unknown,308455
example_domain\isaac.garcia,linkedin-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,268258
example_domain\isaac.garcia,bing-maps,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,145161
example_domain\isaac.garcia,github-base,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,144763
example_domain\john.jones,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,1.48E+11
example_domain\john.jones,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,274048094
example_domain\john.jones,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,262569006
example_domain\john.jones,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,237165723
example_domain\john.jones,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,211021983
example_domain\john.jones,smartsheet-base,social-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,206659079
example_domain\john.jones,zoom-meeting,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,123244149
example_domain\john.jones,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,119589645
example_domain\john.jones,giphy-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,37258877
example_domain\john.jones,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,14312490
example_domain\john.jones,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,4675570
example_domain\john.jones,zoom-phone,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,3805863
example_domain\john.jones,websocket,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,3418074
example_domain\john.jones,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,2582826
example_domain\john.jones,workday-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,2376742
example_domain\john.jones,youtube-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,968030
example_domain\john.jones,ms-onedrive-business,file-sharing,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,673190
example_domain\john.jones,microsoft-intune,it-management,The application is allowed by security rule 'endpoint-management-microsoft',irrelevant,425573
example_domain\john.jones,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,395319
example_domain\john.jones,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,309822
example_domain\john.jones,linkedin-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,285584
example_domain\john.jones,facebook-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,191114
example_domain\john.jones,boxnet-base,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,71841
example_domain\john.jones,pingone,auth-service,The application is allowed provided the user is in the AD group 'managed-user',managed-user,71448
example_domain\penny.hester,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,99688821541
example_domain\penny.hester,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,12753835924
example_domain\penny.hester,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,1474592483
example_domain\penny.hester,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,369416714
example_domain\penny.hester,crowdstrike,management,The application is allowed by security rule 'endpoint-edr-antivirus',irrelevant,297145889
example_domain\penny.hester,rtp-audio,audio-streaming,The application is allowed provided the user is in the AD group 'managed-user',managed-user,281145210
example_domain\penny.hester,ms-update,software-update,The application is allowed by security rule 'endpoint-software-updates',irrelevant,195073645
example_domain\penny.hester,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,145632155
example_domain\penny.hester,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,136544285
example_domain\penny.hester,github-base,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,113820545
example_domain\penny.hester,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,105678686
example_domain\penny.hester,azure-log-analytics,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,76446573
example_domain\penny.hester,microsoft-intune,it-management,The application is allowed by security rule 'endpoint-management-microsoft',irrelevant,35940010
example_domain\penny.hester,new-relic,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,13924704
example_domain\penny.hester,websocket,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,11872262
example_domain\penny.hester,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,11583530
example_domain\penny.hester,service-now-base,management,The application is allowed by security rule 'servicenow-app',irrelevant,11397551
example_domain\penny.hester,http-video,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,9061950
example_domain\penny.hester,youtube-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,8409560
example_domain\penny.hester,google-app-engine,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,4410729
example_domain\penny.hester,ms-onedrive-business,file-sharing,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,4399402
example_domain\penny.hester,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,3975518
example_domain\penny.hester,amazon-aws-console,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,3733800
example_domain\penny.hester,boxnet-base,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,2258383
example_domain\penny.hester,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,2248256
example_domain\penny.hester,windows-azure-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,911826
example_domain\penny.hester,stackoverflow-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,585197
example_domain\penny.hester,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,152015
example_domain\penny.hester,pingone,auth-service,The application is allowed provided the user is in the AD group 'managed-user',managed-user,149897
example_domain\penny.hester,gist,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,113686
example_domain\penny.hester,okta,auth-service,The application is allowed provided the user is in the AD group 'managed-user',managed-user,112939
example_domain\penny.hester,cloudinary-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,85429
example_domain\penny.hester,disqus,web-posting,The application is allowed provided the user is in the AD group 'managed-user',managed-user,59812
example_domain\brandy.sanchez,youtube-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,31408193779
example_domain\brandy.sanchez,rtp-audio,audio-streaming,The application is allowed provided the user is in the AD group 'managed-user',managed-user,9964979242
example_domain\brandy.sanchez,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,9576313881
example_domain\brandy.sanchez,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,717533498
example_domain\brandy.sanchez,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,391870733
example_domain\brandy.sanchez,crowdstrike,management,The application is allowed by security rule 'endpoint-edr-antivirus',irrelevant,254180549
example_domain\brandy.sanchez,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,237907158
example_domain\brandy.sanchez,zoom-meeting,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,113849794
example_domain\brandy.sanchez,ms-update,software-update,The application is allowed by security rule 'endpoint-software-updates',irrelevant,113592855
example_domain\brandy.sanchez,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,102354913
example_domain\brandy.sanchez,boxnet-base,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,79622605
example_domain\brandy.sanchez,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,77558146
example_domain\brandy.sanchez,salesforce-base,erp-crm,The application is allowed provided the user is in the AD group 'managed-user',managed-user,69124604
example_domain\brandy.sanchez,azure-log-analytics,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,42281343
example_domain\brandy.sanchez,microsoft-intune,it-management,The application is allowed by security rule 'endpoint-management-microsoft',irrelevant,31106869
example_domain\brandy.sanchez,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,18785768
example_domain\brandy.sanchez,jira-downloading,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,18200985
example_domain\brandy.sanchez,boxnet-uploading,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,17904592
example_domain\brandy.sanchez,google-app-engine,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,16387718
example_domain\brandy.sanchez,github-base,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,14804783
example_domain\brandy.sanchez,http-video,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,12797617
example_domain\brandy.sanchez,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,9496262
example_domain\brandy.sanchez,websocket,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,7948059
example_domain\brandy.sanchez,okta,auth-service,The application is allowed provided the user is in the AD group 'managed-user',managed-user,7104362
example_domain\brandy.sanchez,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,5797345
example_domain\brandy.sanchez,jira-uploading,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,5137322
example_domain\brandy.sanchez,grammarly,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,4523424
example_domain\brandy.sanchez,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,2058838
example_domain\brandy.sanchez,amazon-aws-console,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1113972
example_domain\brandy.sanchez,giphy-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,814120
example_domain\brandy.sanchez,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,696072
example_domain\brandy.sanchez,ms-onedrive-business,file-sharing,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,673850
example_domain\brandy.sanchez,salesforce-chatter,social-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,502779
example_domain\brandy.sanchez,windows-azure-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,466551
example_domain\brandy.sanchez,salesforce-editing,erp-crm,The application is allowed provided the user is in the AD group 'managed-user',managed-user,299880
example_domain\brandy.sanchez,linkedin-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,246877
example_domain\brandy.sanchez,twitter-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,117908
example_domain\denise.vang,boxnet-base,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,16428267734
example_domain\denise.vang,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,9060181786
example_domain\denise.vang,boxnet-uploading,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,8776954239
example_domain\denise.vang,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,1997574370
example_domain\denise.vang,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,1218539256
example_domain\denise.vang,rtp-audio,audio-streaming,The application is allowed provided the user is in the AD group 'managed-user',managed-user,974677471
example_domain\denise.vang,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,662616835
example_domain\denise.vang,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,573828904
example_domain\denise.vang,crowdstrike,management,The application is allowed by security rule 'endpoint-edr-antivirus',irrelevant,305298590
example_domain\denise.vang,ms-update,software-update,The application is allowed by security rule 'endpoint-software-updates',irrelevant,232478987
example_domain\denise.vang,service-now-base,management,The application is allowed by security rule 'servicenow-app',irrelevant,200366042
example_domain\denise.vang,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,143284875
example_domain\denise.vang,zoom-meeting,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,108087280
example_domain\denise.vang,websocket,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,99257663
example_domain\denise.vang,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,92980188
example_domain\denise.vang,azure-log-analytics,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,61772802
example_domain\denise.vang,microsoft-intune,it-management,The application is allowed by security rule 'endpoint-management-microsoft',irrelevant,47226895
example_domain\denise.vang,smartsheet-base,social-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,42541739
example_domain\denise.vang,google-docs-base,office-programs,The application is blocked by security rule 'not-authorized-for-office-programs',irrelevant,37425844
example_domain\denise.vang,concur-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,35359699
example_domain\denise.vang,google-drive-web,file-sharing,"Error during policy testing: Unrecognized application
Error parsing arguments
",unknown,30488515
example_domain\denise.vang,ms-onedrive-business,file-sharing,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,26977081
example_domain\denise.vang,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,25716212
example_domain\denise.vang,ms-powerpoint-online,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,25565973
example_domain\denise.vang,youtube-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,23682684
example_domain\denise.vang,jamf,management,The application is allowed by security rule 'endpoint-management-apple',irrelevant,19587797
example_domain\denise.vang,google-maps,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,18476210
example_domain\denise.vang,giphy-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,17772078
example_domain\denise.vang,http-video,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,15622186
example_domain\denise.vang,windows-azure-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,11860815
example_domain\denise.vang,zoom-phone,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,9097942
example_domain\denise.vang,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,8150231
example_domain\denise.vang,linkedin-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,5538580
example_domain\denise.vang,new-relic,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,3992360
example_domain\denise.vang,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,3113237
example_domain\denise.vang,docusign-enterprise-access,office-programs,The application is blocked by security rule 'not-authorized-for-office-programs',irrelevant,2638018
example_domain\denise.vang,workday-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,2462938
example_domain\denise.vang,pagerduty,management,"Error during policy testing: Unrecognized application
Error parsing arguments
",unknown,1981024
example_domain\denise.vang,cust-beyond-trust-ssl,remote-access,"Error during policy testing: Unrecognized application
Error parsing arguments
",unknown,1761672
example_domain\denise.vang,twitter-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1222500
example_domain\denise.vang,google-app-engine,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1126434
example_domain\denise.vang,docusign-base,office-programs,The application is blocked by security rule 'not-authorized-for-office-programs',irrelevant,1070721
example_domain\denise.vang,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,975934
example_domain\denise.vang,pingone,auth-service,The application is allowed provided the user is in the AD group 'managed-user',managed-user,896837
example_domain\denise.vang,github-base,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,492805
example_domain\denise.vang,facebook-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,381270
example_domain\denise.vang,docusign-uploading,office-programs,The application is blocked by security rule 'not-authorized-for-office-programs',irrelevant,300156
example_domain\denise.vang,datadog,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,274071
example_domain\denise.vang,vimeo-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,241650
example_domain\denise.vang,ms-onenote-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,81790
example_domain\justin.eaton,rtp-audio,audio-streaming,The application is allowed provided the user is in the AD group 'managed-user',managed-user,18773820252
example_domain\justin.eaton,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,14505387285
example_domain\justin.eaton,zoom-meeting,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,2549885775
example_domain\justin.eaton,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,1659665258
example_domain\justin.eaton,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,1562083573
example_domain\justin.eaton,crowdstrike,management,The application is allowed by security rule 'endpoint-edr-antivirus',irrelevant,551883230
example_domain\justin.eaton,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,228703330
example_domain\justin.eaton,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,212279197
example_domain\justin.eaton,ms-update,software-update,The application is allowed by security rule 'endpoint-software-updates',irrelevant,198482513
example_domain\justin.eaton,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,113832209
example_domain\justin.eaton,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,87920371
example_domain\justin.eaton,azure-log-analytics,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,71996926
example_domain\justin.eaton,http-video,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,64685614
example_domain\justin.eaton,ms-powerpoint-online,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,54048622
example_domain\justin.eaton,websocket,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,35853459
example_domain\justin.eaton,microsoft-intune,it-management,The application is allowed by security rule 'endpoint-management-microsoft',irrelevant,33941446
example_domain\justin.eaton,pagerduty,management,"Error during policy testing: Unrecognized application
Error parsing arguments
",unknown,30249132
example_domain\justin.eaton,draw.io-base,office-programs,The application is blocked by security rule 'not-authorized-for-office-programs',irrelevant,20988015
example_domain\justin.eaton,zoom-phone,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,16591248
